question,answer,source,theme
What does 311 do when the City Clerk's office doesn't answer the phone?,The City Clerk's main extension 4100 is set up to be automatically forwarded to 311 if the call is not answered within the first 20 seconds. This was done because most calls to the city clerk's office are general inquiries that can easily be handled by 311 staff.,"City Clerks Quick Reference Training Guide 2024.docx, How Constituent Services Supports section",311 Services
What information must be included in every service request?,311 staff must: verify service request is submitted under correct request type and sent to appropriate department; ensure all service requests are documented and routed properly; ensure customer's name and contact information is accurately documented when necessary; include exact address or location (or detailed location description if exact address cannot be provided with comments detailing location or nearest landmark); and verify that a detailed description of the service need is documented in the Comments box.,"Multiple training documents, Standards of service sections",311 Services
What is 311 and how can I contact them?,"311 is the City of Somerville's help line for city services and non-emergency issues. You can reach 311 by phone (dial 311 or 617-666-3311 from a cell), online at somervillema.gov/311, in person at City Hall (93 Highland Ave), or follow @311Somerville on social media for updates. 311 partners with 20+ City departments to support over 300 services and functions.","New Hire Training PPT.pdf, page 2-3",311 Services
What services can I request through 311?,"You can request mattress/box spring recycling (for 6 or fewer units), tenant inspections, tree trimmings and/or removals, sidewalk repairs, pothole repairs, assistance with Somerville parking permits, and many other city services. 311 connects you with the right department to resolve your concern.","New Hire Training PPT.pdf, page 4",311 Services
Why is providing accurate location details important for 311 requests?,"Not every service request can be completed in a few days - some need time or funding, some aren't City responsibility, and some can't be done due to inaccurate location or lack of contact information. If the problem isn't directly in front of an address, location descriptions are extremely important. For example: 'in the alley behind...', 'halfway down the block on the west side, in the vacant lot next to the bank.'","New Hire Training PPT.pdf, page 7",311 Services
What happens after I call 311?,311 logs and routes your request to the right department. You get a confirmation number (SR number). City staff address the issue and update the request. You may receive follow-up or closure notices. Providing an email address allows you to get status emails when the service request opens and closes.,"New Hire Training PPT.pdf, page 8",311 Services
How do I apply for a marriage license in Somerville?,"Both parties must apply in person at the City Clerk's office with government-issued photo ID. There is a mandatory 3-day waiting period (including weekends/holidays). The fee is $50 (cash, check, money order, or credit card). You can apply up to 60 days before your wedding date. You don't need to be a Somerville resident to apply here, and you can get married anywhere in Massachusetts.","City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
Can I get married in Somerville if I don't live here?,"Yes. Neither applicant needs to live or work in Somerville to apply for a marriage license in the City of Somerville. Constituents who apply for their license in Somerville may get married in any town or city in the Commonwealth of Massachusetts. However, their marriage certificate will be filed in Somerville.","City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
Who can officiate a marriage in Massachusetts?,"Marriage can be officiated by a religious official, justice of the peace, or anyone with a 1-day designation from the Secretary of State.","City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
How do I petition to waive the 3-day marriage license waiting period?,Constituents who applied for a marriage license can file a petition for a marriage without delay from a local probate or district court to waive the 3-day waiting period.,"City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
